olympic_id,year,host_nation,AFG,AFG_prev,AHO,AHO_prev,ALG,ALG_prev,ANZ,ANZ_prev,ARG,ARG_prev,ARM,ARM_prev,AUS,AUS_prev,AUT,AUT_prev,AZE,AZE_prev,BAH,BAH_prev,BAR,BAR_prev,BDI,BDI_prev,BEL,BEL_prev,BER,BER_prev,BIN,BIN_prev,BLR,BLR_prev,BOH,BOH_prev,BRA,BRA_prev,BRN,BRN_prev,BUL,BUL_prev,BWI,BWI_prev,CAN,CAN_prev,CHI,CHI_prev,CHN,CHN_prev,CIV,CIV_prev,CMR,CMR_prev,COL,COL_prev,CRC,CRC_prev,CRO,CRO_prev,CUB,CUB_prev,CZE,CZE_prev,CZR,CZR_prev,DEN,DEN_prev,DEU,DEU_prev,DJI,DJI_prev,DOM,DOM_prev,ECU,ECU_prev,EGY,EGY_prev,ERI,ERI_prev,ESP,ESP_prev,EST,EST_prev,ETH,ETH_prev,FIN,FIN_prev,FRA,FRA_prev,FRG,FRG_prev,GBR,GBR_prev,GDR,GDR_prev,GEO,GEO_prev,GER,GER_prev,GHA,GHA_prev,GRE,GRE_prev,GUY,GUY_prev,HAI,HAI_prev,HKG,HKG_prev,HUN,HUN_prev,ICE,ICE_prev,INA,INA_prev,IND,IND_prev,INT,INT_prev,IRI,IRI_prev,IRL,IRL_prev,IRN,IRN_prev,IRQ,IRQ_prev,ISL,ISL_prev,ISR,ISR_prev,ISV,ISV_prev,ITA,ITA_prev,JAM,JAM_prev,JAP,JAP_prev,JPN,JPN_prev,KAZ,KAZ_prev,KEN,KEN_prev,KGZ,KGZ_prev,KIT,KIT_prev,KOR,KOR_prev,KSA,KSA_prev,KUW,KUW_prev,LAT,LAT_prev,LIB,LIB_prev,LTU,LTU_prev,LUX,LUX_prev,MAR,MAR_prev,MAS,MAS_prev,MDA,MDA_prev,MEX,MEX_prev,MGL,MGL_prev,MKD,MKD_prev,MON,MON_prev,MOZ,MOZ_prev,MRI,MRI_prev,NAM,NAM_prev,NED,NED_prev,NGR,NGR_prev,NIG,NIG_prev,NOR,NOR_prev,NZL,NZL_prev,PAK,PAK_prev,PAN,PAN_prev,PAR,PAR_prev,PER,PER_prev,PHI,PHI_prev,POL,POL_prev,POR,POR_prev,PRK,PRK_prev,PUR,PUR_prev,QAT,QAT_prev,ROM,ROM_prev,RSA,RSA_prev,RUS,RUS_prev,SAF,SAF_prev,SEN,SEN_prev,SIN,SIN_prev,SLO,SLO_prev,SRB,SRB_prev,SRI,SRI_prev,SUD,SUD_prev,SUI,SUI_prev,SUR,SUR_prev,SVK,SVK_prev,SWE,SWE_prev,SYR,SYR_prev,TAN,TAN_prev,TGA,TGA_prev,THA,THA_prev,TJK,TJK_prev,TOG,TOG_prev,TPE,TPE_prev,TRI,TRI_prev,TUN,TUN_prev,TUR,TUR_prev,UAE,UAE_prev,UGA,UGA_prev,UKR,UKR_prev,URS,URS_prev,URU,URU_prev,USA,USA_prev,UZB,UZB_prev,VEN,VEN_prev,VIE,VIE_prev,YUF,YUF_prev,YUG,YUG_prev,ZAM,ZAM_prev,ZIM,ZIM_prev,num_of_events
1,1896,Greece,,,,,,,,,,,,,2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,14,,,,,,,,,,,,,,,,,,,,11,,,,7,,,,,,,,,,45,,,,,,,,7,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,43
2,1900,France,,0,,0,,0,,0,,0,,0,6,2,6,5,,0,,0,,0,,0,16,0,,0,2,0,,0,3,0,,0,,0,,0,,0,2,0,,0,,0,,0,,0,,0,,0,,0,2,0,,0,,0,7,6,8,14,,0,,0,,0,,0,,0,1,0,,0,,0,,0,110,11,,0,35,7,,0,,0,,0,,0,,45,,0,,0,,0,5,7,,0,,0,,0,5,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,0,,0,,0,,0,,0,,0,,0,5,0,,0,,0,5,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,9,3,,0,,0,2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,48,19,,0,,0,,0,,0,,0,,0,,0,93
3,1904,USA,,0,,0,,0,,0,,0,,0,,6,1,6,,0,,0,,0,,0,,16,,0,,2,,0,,3,,0,,0,,0,,0,6,2,,0,,0,,0,,0,,0,,0,,0,9,2,,0,,0,,7,13,8,,0,,0,,0,,0,,0,,1,,0,,0,,0,,110,,0,2,35,,0,,0,,0,,0,2,0,,0,,0,,0,4,5,,0,,0,,0,2,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,5,,0,,0,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2,9,,0,,0,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,234,48,,0,,0,,0,,0,,0,,0,,0,95
4,1906,Greece,,0,,0,,0,,0,,0,,0,3,0,9,1,,0,,0,,0,,0,7,0,,0,,0,,0,2,0,,0,,0,,0,,0,2,6,,0,,0,,0,,0,,0,,0,,0,,9,,0,,0,6,0,14,13,,0,,0,,0,,0,,0,,0,,0,,0,4,0,40,0,,0,24,2,,0,,0,,0,,0,35,2,,0,,0,,0,10,4,,0,,0,,0,1,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,16,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,3,0,,0,,0,7,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,15,2,,0,,0,14,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,23,234,,0,,0,,0,,0,,0,,0,,0,78
5,1908,UK,,0,,0,,0,5,0,,0,,0,,3,1,9,,0,,0,,0,,0,8,7,,0,,0,,0,2,2,,0,,0,,0,,0,16,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,5,6,11,14,,0,,0,,0,,0,,0,,0,,0,,0,5,4,19,40,,0,137,24,,0,,0,,0,,0,3,35,,0,,0,,0,9,10,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,5,16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2,3,,0,,0,8,7,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2,0,2,0,,0,,0,,0,,0,,0,,0,,15,,0,,0,22,14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,46,23,,0,,0,,0,,0,,0,,0,,0,105
6,1912,Sweden,,0,,0,,0,7,5,,0,,0,,0,4,1,,0,,0,,0,,0,6,8,,0,,0,,0,,2,,0,,0,,0,,0,8,16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,12,5,25,11,,0,,0,,0,,0,,0,,0,1,0,,0,26,5,16,19,,0,41,137,,0,,0,,0,,0,2,3,,0,,0,,0,8,9,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,8,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,3,2,,0,,0,9,8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,4,2,6,2,,0,,0,,0,,0,,0,,0,1,0,,0,,0,65,22,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,63,46,,0,,0,,0,,0,,0,,0,,0,107
7,1920,Belgium,,0,,0,,0,,7,,0,,0,3,0,,4,,0,,0,,0,,0,42,6,,0,,0,,0,,0,3,0,,0,,0,,0,9,8,,0,,0,,0,,0,,0,,0,,0,,0,1,0,,0,14,12,,25,,0,,0,,0,,0,,0,2,0,3,1,,0,33,26,41,16,,0,42,41,,0,,0,,0,,0,1,2,,0,,0,,0,,8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,2,0,,0,,0,,0,25,8,,0,,0,,0,,0,,0,,0,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,11,3,,0,,0,29,9,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,10,6,,0,,0,,0,,0,,0,,0,11,1,,0,,0,60,65,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,92,63,,0,,0,,0,,0,,0,,0,,0,152
8,1924,France,,0,,0,,0,,0,6,0,,0,6,3,4,0,,0,,0,,0,,0,13,42,,0,,0,,0,,0,,3,,0,,0,,0,4,9,,0,,0,,0,,0,,0,,0,,0,,0,10,1,,0,11,14,,0,,0,,0,,0,,0,,0,,2,6,3,,0,37,33,40,41,,0,36,42,,0,,0,,0,,0,1,1,,0,1,0,,0,10,0,,0,,0,,0,,0,,0,2,0,,0,,0,,0,,0,,0,,0,,0,,0,1,2,,0,,0,,0,16,25,,0,,0,,0,,0,,0,,0,2,1,,0,,0,,0,,0,,0,,0,1,0,,0,,0,,0,11,11,,0,,0,10,29,1,1,,0,,0,,0,,0,,0,2,0,1,0,,0,,0,,0,1,0,,0,,0,3,10,,0,,0,,0,,0,,0,,0,25,11,,0,,0,29,60,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,0,99,92,,0,,0,,0,,0,2,0,,0,,0,126
9,1928,Netherlands,,0,,0,,0,,0,7,6,,0,4,6,4,4,,0,,0,,0,,0,3,13,,0,1,0,,0,,0,,0,,0,,0,,0,15,4,1,0,,0,,0,,0,,0,,0,,0,,0,9,10,,0,9,11,,0,,0,,0,,0,4,0,,0,1,0,5,6,,0,25,37,25,40,,0,22,36,,0,,0,39,0,,0,,1,,0,1,1,,0,10,10,,0,,0,,0,,0,,0,1,2,,0,,0,,0,,0,,0,,0,,0,,0,5,1,,0,,0,,0,20,16,,0,,0,,0,,0,,0,,0,1,2,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,22,11,,0,,0,4,10,1,1,,0,,0,,0,,0,1,0,7,2,1,1,,0,,0,,0,,1,,0,,0,3,3,,0,,0,,0,,0,,0,,0,16,25,,0,,0,25,29,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,56,99,,0,,0,,0,,0,5,2,,0,,0,115
10,1932,USA,,0,,0,,0,,0,4,7,,0,5,4,5,4,,0,,0,,0,,0,1,3,,0,1,1,,0,,0,,0,,0,,0,,0,16,15,,1,,0,,0,,0,,0,,0,,0,,0,6,9,,0,8,9,,0,,0,,0,,0,,4,,0,1,1,,5,,0,25,25,20,25,,0,17,22,,0,,0,23,39,,0,,0,,0,,1,,0,16,10,,0,,0,,0,,0,,0,2,1,,0,,0,,0,,0,,0,,0,,0,,0,18,5,,0,,0,,0,36,20,,0,,0,,0,1,0,,0,,0,,1,,0,,0,,0,2,0,,0,,0,,0,,0,,0,,0,8,22,,0,,0,,4,1,1,,0,,0,,0,,0,3,1,9,7,,1,,0,,0,,0,,0,,0,,0,5,3,,0,,0,,0,,0,,0,,0,1,16,,0,,0,24,25,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,1,110,56,,0,,0,,0,,0,,5,,0,,0,121
