olympic_id,year,season,host_city,host_nation,country,olympic_medals,olympic_medals_score,host_advantage
1,1896,Summer,Athens,GRC,AUS,2,6,FALSE
1,1896,Summer,Athens,GRC,AUT,5,10,FALSE
1,1896,Summer,Athens,GRC,DEN,6,10,FALSE
1,1896,Summer,Athens,GRC,DEU,14,91,FALSE
1,1896,Summer,Athens,GRC,FRA,11,25,FALSE
1,1896,Summer,Athens,GRC,GBR,7,14,FALSE
1,1896,Summer,Athens,GRC,GRE,45,93,FALSE
1,1896,Summer,Athens,GRC,HUN,7,12,FALSE
1,1896,Summer,Athens,GRC,INT,3,12,FALSE
1,1896,Summer,Athens,GRC,SUI,3,7,FALSE
1,1896,Summer,Athens,GRC,USA,19,49,FALSE
10,1932,Summer,Los Angeles,USA,ARG,4,11,FALSE
10,1932,Summer,Los Angeles,USA,AUS,5,12,FALSE
10,1932,Summer,Los Angeles,USA,AUT,5,8,FALSE
10,1932,Summer,Los Angeles,USA,BEL,1,1,FALSE
10,1932,Summer,Los Angeles,USA,BIN,1,45,FALSE
10,1932,Summer,Los Angeles,USA,CAN,16,56,FALSE
10,1932,Summer,Los Angeles,USA,CZE,6,11,FALSE
10,1932,Summer,Los Angeles,USA,DEN,8,18,FALSE
10,1932,Summer,Los Angeles,USA,ESP,1,1,FALSE
10,1932,Summer,Los Angeles,USA,FIN,25,46,FALSE
10,1932,Summer,Los Angeles,USA,FRA,20,100,FALSE
10,1932,Summer,Los Angeles,USA,GBR,17,65,FALSE
10,1932,Summer,Los Angeles,USA,GER,23,89,FALSE
10,1932,Summer,Los Angeles,USA,HUN,16,78,FALSE
10,1932,Summer,Los Angeles,USA,IRL,2,6,FALSE
10,1932,Summer,Los Angeles,USA,JPN,18,68,FALSE
10,1932,Summer,Los Angeles,USA,KIT,36,152,FALSE
10,1932,Summer,Los Angeles,USA,LAT,1,2,FALSE
10,1932,Summer,Los Angeles,USA,MEX,2,4,FALSE
10,1932,Summer,Los Angeles,USA,NED,8,27,FALSE
10,1932,Summer,Los Angeles,USA,NZL,1,4,FALSE
10,1932,Summer,Los Angeles,USA,PHI,3,3,FALSE
10,1932,Summer,Los Angeles,USA,POL,9,32,FALSE
10,1932,Summer,Los Angeles,USA,SAF,5,9,FALSE
10,1932,Summer,Los Angeles,USA,SUI,1,2,FALSE
10,1932,Summer,Los Angeles,USA,SWE,24,65,FALSE
10,1932,Summer,Los Angeles,USA,URU,1,1,FALSE
10,1932,Summer,Los Angeles,USA,USA,110,388,TRUE
11,1936,Summer,Berlin,GER,ARG,7,23,FALSE
11,1936,Summer,Berlin,GER,AUS,1,1,FALSE
11,1936,Summer,Berlin,GER,AUT,18,110,FALSE
11,1936,Summer,Berlin,GER,BEL,3,13,FALSE
11,1936,Summer,Berlin,GER,BIN,1,57,FALSE
11,1936,Summer,Berlin,GER,CAN,9,36,FALSE
11,1936,Summer,Berlin,GER,CZE,9,40,FALSE
11,1936,Summer,Berlin,GER,DEN,5,9,FALSE
11,1936,Summer,Berlin,GER,EGY,5,10,FALSE
11,1936,Summer,Berlin,GER,EST,7,13,FALSE
11,1936,Summer,Berlin,GER,FIN,20,47,FALSE
11,1936,Summer,Berlin,GER,FRA,18,80,FALSE
11,1936,Summer,Berlin,GER,GBR,14,76,FALSE
11,1936,Summer,Berlin,GER,GER,99,470,TRUE
11,1936,Summer,Berlin,GER,HUN,16,92,FALSE
11,1936,Summer,Berlin,GER,JPN,20,45,FALSE
11,1936,Summer,Berlin,GER,KIT,27,184,FALSE
11,1936,Summer,Berlin,GER,LAT,2,3,FALSE
11,1936,Summer,Berlin,GER,MEX,3,16,FALSE
11,1936,Summer,Berlin,GER,NED,17,62,FALSE
11,1936,Summer,Berlin,GER,NOR,6,42,FALSE
11,1936,Summer,Berlin,GER,NZL,1,3,FALSE
11,1936,Summer,Berlin,GER,PHI,1,1,FALSE
11,1936,Summer,Berlin,GER,POL,9,18,FALSE
11,1936,Summer,Berlin,GER,POR,1,3,FALSE
11,1936,Summer,Berlin,GER,ROM,1,2,FALSE
11,1936,Summer,Berlin,GER,SAF,1,2,FALSE
11,1936,Summer,Berlin,GER,SUI,18,78,FALSE
11,1936,Summer,Berlin,GER,SWE,21,60,FALSE
11,1936,Summer,Berlin,GER,TUR,2,4,FALSE
11,1936,Summer,Berlin,GER,USA,57,222,FALSE
11,1936,Summer,Berlin,GER,YUG,1,2,FALSE
12,1948,Summer,London,GBR,ARG,7,24,FALSE
12,1948,Summer,London,GBR,AUS,14,30,FALSE
12,1948,Summer,London,GBR,AUT,8,14,FALSE
12,1948,Summer,London,GBR,BEL,7,24,FALSE
12,1948,Summer,London,GBR,BRA,1,10,FALSE
12,1948,Summer,London,GBR,CAN,4,9,FALSE
12,1948,Summer,London,GBR,CUB,1,4,FALSE
12,1948,Summer,London,GBR,CZE,11,51,FALSE
12,1948,Summer,London,GBR,DEN,22,80,FALSE
12,1948,Summer,London,GBR,EGY,5,11,FALSE
12,1948,Summer,London,GBR,ESP,1,6,FALSE
12,1948,Summer,London,GBR,FIN,22,69,FALSE
12,1948,Summer,London,GBR,FRA,32,145,FALSE
12,1948,Summer,London,GBR,GBR,26,113,TRUE
12,1948,Summer,London,GBR,HUN,27,111,FALSE
12,1948,Summer,London,GBR,IND,2,62,FALSE
12,1948,Summer,London,GBR,IRI,1,1,FALSE
12,1948,Summer,London,GBR,IRL,1,1,FALSE
12,1948,Summer,London,GBR,ITA,31,141,FALSE
12,1948,Summer,London,GBR,JAM,3,7,FALSE
12,1948,Summer,London,GBR,KOR,2,2,FALSE
12,1948,Summer,London,GBR,MEX,5,18,FALSE
12,1948,Summer,London,GBR,NED,16,60,FALSE
12,1948,Summer,London,GBR,NOR,7,28,FALSE
12,1948,Summer,London,GBR,PAN,2,2,FALSE
12,1948,Summer,London,GBR,PER,1,3,FALSE
12,1948,Summer,London,GBR,POL,2,4,FALSE
12,1948,Summer,London,GBR,POR,2,7,FALSE
12,1948,Summer,London,GBR,PUR,1,1,FALSE
12,1948,Summer,London,GBR,SAF,6,12,FALSE
12,1948,Summer,London,GBR,SRI,1,2,FALSE
12,1948,Summer,London,GBR,SUI,22,68,FALSE
12,1948,Summer,London,GBR,SWE,46,150,FALSE
12,1948,Summer,London,GBR,TRI,1,2,FALSE
12,1948,Summer,London,GBR,TUR,12,28,FALSE
