olympic_id,sport_key,event,athlete,country,result,medal
1,CYC,2000m Sprint (Scratch) Men,Paul Masson,FRA,4:58.2,GOLD
1,CYC,2000m Sprint (Scratch) Men,Stamatios Nikolopoulos,GRE,5:00.2,SILVER
1,CYC,2000m Sprint (Scratch) Men,Léon Flameng,FRA,,BRONZE
1,CYC,Individual Road Race Men,Aristides Konstantinides,GRE,3:21:10,GOLD
1,CYC,Individual Road Race Men,August Goedrich,DEU,3:34:14,SILVER
1,CYC,Individual Road Race Men,Edward Battell,GBR,,BRONZE
1,CYC,One-Lap Race,Paul Masson,FRA,24.0,GOLD
1,CYC,One-Lap Race,Stamatios Nikolopoulos,GRE,26.0,SILVER
1,CYC,One-Lap Race,Adolf Schmal,AUT,26.0,BRONZE
1,CYC,10km Track Race,Paul Masson,FRA,17:54.2,GOLD
1,CYC,10km Track Race,Léon Flameng,FRA,17:54.8,SILVER
1,CYC,10km Track Race,Adolf Schmal,AUT,,BRONZE
1,CYC,100km Track Race,Léon Flameng,FRA,3:08:19,GOLD
1,CYC,100km Track Race,Georgios Kolettis,GRE,,SILVER
1,CYC,12-Hour Race,Adolf Schmal,AUT,295.3,GOLD
1,CYC,12-Hour Race,Frank Keeping,GBR,294.946,SILVER
1,FEN,Foil Individual,Eugène-Henri Gravelotte,FRA,,GOLD
1,FEN,Foil Individual,Henri Callot,FRA,,SILVER
1,FEN,Foil Individual,Perikles Pierrakos-Mavromikhalis,GRE,,BRONZE
1,FEN,Sabre Individual,Ioannis Georgiadis,GRE,,GOLD
1,FEN,Sabre Individual,Telemachos Karakalos,GRE,,SILVER
1,FEN,Sabre Individual,Holger Nielsen,DEN,,BRONZE
1,FEN,Masters Foil,Leon Pyrgos,GRE,,GOLD
1,FEN,Masters Foil,Jean Perronnet,FRA,,SILVER
1,GYM,Horizontal Bar,Hermann Weingärtner,DEU,,GOLD
1,GYM,Horizontal Bar,Alfred Flatow,DEU,,SILVER
1,GYM,Parallel Bars,Alfred Flatow,DEU,,GOLD
1,GYM,Parallel Bars,Louis Zutter,SUI,,SILVER
1,GYM,Long Horse Vault,Carl Schuhmann,DEU,,GOLD
1,GYM,Long Horse Vault,Louis Zutter,SUI,,SILVER
1,GYM,Long Horse Vault,Hermann Weingärtner,DEU,,BRONZE
1,GYM,Pommeled Horse,Louis Zutter,SUI,,GOLD
1,GYM,Pommeled Horse,Hermann Weingärtner,DEU,,SILVER
1,GYM,Rings,Ioannis Mitropoulos,GRE,,GOLD
1,GYM,Rings,Hermann Weingärtner,DEU,,SILVER
1,GYM,Rings,Petros Persakis,GRE,,BRONZE
1,GYM,Rope climbing,Nicolaos Andriakopoulos,GRE,23.4,GOLD
1,GYM,Rope climbing,Thomas Xenakis,GRE,n.a.,SILVER
1,GYM,Rope climbing,Fritz Hofmann,DEU,dnf,BRONZE
1,GYM,Parallel Bars Team,Fritz Hofmann,DEU,,GOLD
1,GYM,Parallel Bars Team,Gustav Flatow,DEU,,GOLD
1,GYM,Parallel Bars Team,Georg Hilmar,DEU,,GOLD
1,GYM,Parallel Bars Team,Conrad Böcker,DEU,,GOLD
1,GYM,Parallel Bars Team,Alfred Flatow,DEU,,GOLD
