country,olympic_country_participation,total_olympic_medals,total_olympic_medals_score,summer_olympic_country_participation,total_summer_olympic_medals,total_summer_olympic_medals_score,winter_olympic_country_participation,total_winter_olympic_medals,total_winter_olympic_medals_score
,1,1,2,1,1,2,,,
AFG,1,1,1,1,1,1,,,
AHO,1,1,2,1,1,2,,,
ALG,5,12,24,5,12,24,,,
ANZ,2,9,73,2,9,73,,,
ARG,17,37,434,17,37,434,,,
ARM,3,8,12,3,8,12,,,
AUS,28,164,2043,24,159,2028,4,5,15
AUT,45,115,739,25,78,307,20,38,432
AZE,4,16,28,4,16,28,,,
BAH,7,6,49,7,6,49,,,
BAR,1,1,1,1,1,1,,,
BDI,1,1,3,1,1,3,,,
BEL,29,108,804,25,105,783,4,4,21
BER,1,1,1,1,1,1,,,
BIN,4,3,148,4,3,148,,,
BLR,8,51,168,4,47,159,4,4,9
BOH,3,7,13,3,7,13,,,
BRA,17,47,604,17,47,604,,,
BRN,1,1,3,1,1,3,,,
BUL,18,118,580,14,113,570,4,5,10
BWI,1,2,5,1,2,5,,,
CAN,45,188,2040,25,143,1096,20,48,944
CHI,7,11,48,7,11,48,,,
CHN,12,163,1485,7,149,1406,5,14,79
CIV,1,1,2,1,1,2,,,
CMR,5,4,63,5,4,63,,,
COL,7,9,15,7,9,15,,,
CRC,3,2,7,3,2,7,,,
CRO,7,20,192,5,15,174,2,5,18
CUB,13,90,840,13,90,840,,,
CZE,25,92,820,15,82,606,10,10,214
CZR,9,38,239,5,26,98,4,12,141
DEN,27,105,1080,26,104,1070,1,1,10
DEU,6,62,399,6,62,399,,,
DJI,1,1,1,1,1,1,,,
DOM,3,4,9,3,4,9,,,
ECU,2,1,5,2,1,5,,,
EGY,8,17,45,8,17,45,,,
ERI,1,1,1,1,1,1,,,
ESP,19,77,773,17,75,769,2,2,4
EST,11,28,79,9,23,64,2,5,15
ETH,10,7,80,10,7,80,,,
FIN,44,157,1401,24,111,803,20,49,598
FRA,45,322,2958,26,290,2766,19,32,192
FRG,12,130,1091,5,111,939,7,19,152
GBR,40,269,3365,27,259,3255,13,10,110
